method_name,num_params,line_number,num_calls,num_locals,num_returns,num_invocations,body_size,num_control_structures,full_name
<init>,1,Some(82),0,0,0,0,7,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.<init>:void()
<init>,6,Some(85),5,0,0,5,32,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.<init>:void(java.lang.Integer,double,java.math.BigDecimal,java.util.Date,java.lang.String)
<init>,6,Some(94),5,0,0,5,32,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.<init>:void(double,java.math.BigDecimal,java.util.Date,org.apache.aries.samples.ariestrader.api.persistence.AccountDataBean,org.apache.aries.samples.ariestrader.api.persistence.QuoteDataBean)
getRandomInstance,0,Some(103),15,3,1,15,45,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.getRandomInstance:org.apache.aries.samples.ariestrader.api.persistence.HoldingDataBean()
toString,1,Some(112),14,0,1,14,32,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.toString:java.lang.String()
toHTML,1,Some(120),19,0,1,19,42,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.toHTML:java.lang.String()
print,1,Some(128),2,0,0,2,11,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.print:void()
getHoldingID,1,Some(132),1,0,1,1,11,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.getHoldingID:java.lang.Integer()
setHoldingID,2,Some(136),2,0,0,2,14,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.setHoldingID:void(java.lang.Integer)
getQuantity,1,Some(140),1,0,1,1,11,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.getQuantity:double()
setQuantity,2,Some(144),2,0,0,2,14,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.setQuantity:void(double)
getPurchasePrice,1,Some(148),1,0,1,1,11,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.getPurchasePrice:java.math.BigDecimal()
setPurchasePrice,2,Some(152),2,0,0,2,14,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.setPurchasePrice:void(java.math.BigDecimal)
getPurchaseDate,1,Some(156),1,0,1,1,11,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.getPurchaseDate:java.util.Date()
setPurchaseDate,2,Some(160),2,0,0,2,14,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.setPurchaseDate:void(java.util.Date)
getQuoteID,1,Some(164),5,0,2,5,23,1,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.getQuoteID:java.lang.String()
setQuoteID,2,Some(171),2,0,0,2,14,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.setQuoteID:void(java.lang.String)
getAccount,1,Some(175),1,0,1,1,11,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.getAccount:org.apache.aries.samples.ariestrader.api.persistence.AccountDataBean()
setAccount,2,Some(179),3,0,0,3,16,0,org.apache.aries.samples.ariestrader.entities.HoldingDataBeanImpl.setAccount:void(org.apache.aries.samples.ariestrader.api.persistence.AccountDataBean)
